STATE,abbr,Density,Pop,LandArea,gdpRank,stateGDP,stateGDPperc,gdpGrowth2018,Airports,Automobiles,Buses,pvi,governorParty,senateParty,houseBalance,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,totalTestResults,fips,positive_04102020,negative_04102020,deaths_04102020,total_test_results_04102020,num_hospitals_2019,num_active_doct_2019,avg_income_2019,proportion_uninsured_2018
Illinois,IL,228.0243,12659682,55519,5,879947,0.042,2.1,707,4655844,34359,-7,Democratic,Democratic,"13D, 5R",6980,1,1,1,1,A,4,33404,,,141,40384,40384,17,17887,69640,596,87527,142,43377,97212.04,0.07
Indiana,IN,188.281,6745354,35826,19,371629,0.018,1.9,518,2261440,20725,9,Republican,Republican,"7R, 2D",2565,1,1,1,0,B,3,11810,,,65,14375,14375,18,6907,28133,300,35040,102,16816,78056.95,0.08
Kansas,KS,35.5968,2910357,81759,32,169558,0.008,1.9,372,987259,6228,13,Democratic,Republican,"3R, 1D",482,1,1,1,0,B,3,5411,,114,10,5893,5893,20,1166,10248,50,11414,58,7926,84168.27,0.09
Kentucky,KY,113.9566,4499692,39486,28,211621,0.01,1.4,263,1691085,10759,15,Republican,Republican,"5R, 1D",591,1,1,1,1,A,4,6965,,,17,7556,7556,21,1693,22595,90,24288,75,11937,80547.15,0.06
Louisiana,LA,107.5175,4645184,43204,24,255492,0.012,1.1,498,1389436,29160,11,Democratic,Republican,"5R, 1D",6424,1,1,1,1,A,4,39352,,1498,273,45776,45776,22,19253,73027,755,92280,108,13821,71388.37,0.08
Massachusetts,MA,894.4355,6976597,7800,11,575635,0.028,2.7,225,2208468,13498,-12,Republican,Democratic,9D,7738,1,1,0,1,B,3,44000,,682,122,51738,51738,25,20974,81398,599,102372,73,36506,117996.28,0.03
Maryland,MD,626.6731,6083116,9707,15,417776,0.02,1.6,223,2006904,22972,-12,Republican,Democratic,"7D, 1R",1985,1,1,1,1,A,4,17233,,522,31,19218,19218,24,6968,37480,171,44448,53,24676,108787.55,0.06
Maine,ME,43.6336,1345790,30843,43,65349,0.003,1.9,217,387233,4339,-3,Democratic,Both*,2D,344,1,1,1,1,A,4,6088,,63,7,6432,6432,23,586,6088,17,6674,19,4721,74331.65,0.08
Michigan,MI,177.6655,10045029,56539,14,537087,0.026,2.7,481,3257473,8737,-1,Democratic,Democratic,"7D, 6R, 1I",9334,1,1,0,1,B,3,11893,,,337,21227,21227,26,22783,49261,1281,72044,106,38819,82676.47,0.05
Minnesota,MN,71.5922,5700671,79627,17,374920,0.018,2.2,475,2146187,19980,-1,Democratic,Democratic,"5D, 3R",689,1,1,1,1,A,4,20502,,122,17,21191,21191,27,1336,32558,57,33894,55,18171,96785.18,0.04
Missouri,MO,89.7453,6169270,68742,22,323287,0.015,2.3,510,2141050,27180,9,Republican,Republican,"6R, 2D",1581,1,1,1,1,A,4,15846,,,18,17427,17427,29,3799,36941,96,40740,86,20275,86397.22,0.09
Mississippi,MS,63.7056,2989260,46923,36,115749,0.006,1,235,822864,8018,9,Republican,Republican,"3R, 1D",1073,1,1,1,0,B,3,3712,,332,22,4785,4785,28,2469,18632,82,21101,70,6597,60922.93,0.12
Montana,MT,7.4668,1086759,145546,48,49635,0.002,0.9,301,441392,4702,11,Democratic,Both,1R,208,1,1,1,1,A,4,4710,,17,5,4918,4918,30,365,7932,6,8297,17,2326,74351.71,0.08
North Carolina,NC,218.2702,10611862,48618,12,575605,0.028,2.9,486,3317918,32493,3,Democratic,Republican,"8R, 3D, 2 Vacant",1584,1,1,1,1,A,4,24659,,204,10,26243,26243,37,3908,53737,74,57645,108,28379,75741.17,0.11
North Dakota,ND,11.0393,761723,69001,45,55657,0.003,2.5,282,276545,3331,17,Republican,Republican,1R,142,1,1,1,0,B,3,4351,,23,3,4493,4493,38,278,9330,6,9608,11,2015,86102.51,0.08
Nebraska,NE,25.4161,1952570,76824,35,124742,0.006,1.5,246,677040,13564,14,Republican,Republican,3R,210,1,1,1,1,A,4,3475,8,,4,3693,3685,31,635,8719,15,9354,26,5627,89613.73,0.08
New Hampshire,NH,153.1605,1371246,8953,39,86046,0.004,2.2,186,505381,2871,0,Republican,Democratic,2D,415,1,1,1,0,B,3,5985,97,59,4,6497,6400,33,819,9139,21,9958,14,4240,101016.39,0.05
New Jersey,NJ,1215.1991,8936574,7354,8,634721,0.03,2,320,2798699,25097,-7,Democratic,Democratic,"11D, 1R",22255,1,1,1,1,A,4,30387,,,355,52642,52642,34,54588,58935,1932,113523,75,30502,114160.42,0.07
New Mexico,NM,17.285,2096640,121298,37,101452,0.005,1.8,171,609494,6278,-3,Democratic,Democratic,3D,315,1,1,1,1,A,4,12925,,24,5,13240,13240,35,1091,26007,19,27098,37,5830,75956.72,0.09
Nevada,NV,28.5993,3139658,109781,33,168752,0.008,3.2,139,1047508,3198,-1,Democratic,Democratic,"3D, 1R",1279,1,1,1,1,A,4,11519,,,26,12798,12798,32,2584,20165,86,22749,30,6151,83997.52,0.11
New York,NY,412.5211,19440469,47126,3,1701399,0.082,2.1,551,4563035,80446,-12,Democratic,Democratic,"21D, 6R",83712,1,1,1,1,A,4,137168,,18368,1941,220880,220880,36,170512,247373,7844,417885,190,89500,102330.23,0.05
Ohio,OH,287.5038,11747694,40861,7,689139,0.033,1.8,660,4605459,41255,3,Republican,Both,"12R, 4D",2547,1,1,0,1,B,3,26992,,679,65,29539,29539,39,5836,52695,231,58531,148,42373,82985.94,0.06
Oklahoma,OK,57.6547,3954821,68595,29,203250,0.01,1.8,457,1337624,3155,20,Republican,Republican,"4R, 1D",719,1,1,1,0,B,3,1248,,219,30,1967,1967,40,1794,20370,88,22164,90,9472,74872.16,0.14
Oregon,OR,44.8086,4301089,95988,25,243085,0.012,3.4,442,1542461,17691,-5,Democratic,Democratic,"4D, 1R",690,1,1,1,1,A,4,13136,,154,18,13826,13826,41,1321,24306,44,25627,37,12149,91458.36,0.07
Pennsylvania,PA,286.5449,12820878,44743,6,803307,0.038,2.1,758,4463267,55935,0,Democratic,Both,"9D, 9R",5805,1,1,1,1,A,4,42427,,620,74,48232,48232,42,19979,93040,416,113019,177,51069,88716.82,0.06
Rhode Island,RI,1021.4323,1056161,1034,44,61341,0.003,0.6,22,420313,2273,-10,Democratic,Democratic,2D,566,1,1,1,0,B,3,3831,,60,10,4397,4397,44,2015,12281,49,14296,11,4988,92008.88,0.04
South Carolina,SC,173.3174,5210095,30061,26,234367,0.011,1.6,196,1808401,17728,8,Republican,Republican,"5R, 2D",1293,1,1,1,0,B,3,5033,,349,26,6326,6326,45,3065,25118,72,28183,65,12847,80500.78,0.1
South Dakota,SD,11.9116,903027,75811,47,52544,0.003,1.3,185,353180,2614,14,Republican,Republican,1R,129,1,1,1,1,A,4,3903,0,12,2,4032,4032,46,536,7111,6,7647,24,2041,84257.55,0.09
Tennessee,TN,167.2748,6897576,41235,18,373663,0.018,3,339,2325004,29158,14,Republican,Republican,"7R, 2D",2683,1,1,1,1,A,4,29769,,200,24,32452,32452,47,4862,57937,98,62799,100,18979,79019.22,0.1
Texas,TX,112.8204,29472295,261232,2,1818585,0.087,3.2,2031,8176879,67143,8,Republican,Republican,"23R, 13D",3997,1,1,1,1,A,4,43860,,196,58,47857,47857,48,11671,104047,226,115718,365,64602,84470.84,0.18
Utah,UT,39.943,3282115,82170,31,180862,0.009,4.3,156,925052,6109,20,Republican,Republican,"3R, 1D",1012,1,1,1,1,A,4,20155,,91,7,21167,21167,49,2102,38660,17,40762,35,6761,100221.8,0.09
Virginia,VA,218.4403,8626207,39490,13,544348,0.026,2.8,431,3251339,34268,-1,Democratic,Democratic,"7D, 4R",1484,1,1,1,1,A,4,13860,,305,34,15344,15344,51,4509,30950,121,35459,90,23307,105791.79,0.09
Vermont,VT,68.1416,628061,9217,50,34154,0.002,1.2,89,221936,1070,-15,Republican,Democratic*,1D,321,1,1,1,1,A,4,4174,,45,16,4495,4495,50,679,7553,24,8232,7,2338,84281.16,0.04
Washington,WA,117.3272,7797095,66456,10,576624,0.028,5.7,538,2925765,23566,-7,Democratic,Democratic,"7D, 3R",5634,1,1,1,1,A,4,60566,,254,224,66200,66200,53,10224,83391,446,93615,64,22036,106407.57,0.07
Wisconsin,WI,108.0497,5851754,54158,21,342470,0.016,2.5,540,2092584,15567,0,Democratic,Both,"5R, 3D",1550,1,1,1,1,A,4,18819,,398,24,20369,20369,55,3068,33225,128,36293,77,17695,80671.17,0.06
West Virginia,WV,73.9691,1778070,24038,40,79168,0.004,2.4,125,562984,3342,19,Republican,Both,3R,191,1,1,1,0,B,3,4384,,1,1,4575,4575,54,554,14001,5,14555,37,5685,66563.23,0.06
Wyoming,WY,5.84,567025,97093,49,39899,0.002,0.3,121,193523,4219,25,Republican,Republican,1R,130,1,1,1,1,A,4,2218,,18,0,2348,2348,56,320,4736,0,5056,14,1172,80293.39,0.11
